PTS,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,POS
7.7,0.4,1.2,38.1,1,1.2,77.8,3.7,1.4,F
14.6,0.9,2.6,32.6,2.8,3.6,77.7,6.7,3.6,F
9.8,0.9,2.5,36.6,1.2,1.5,77.4,3.2,2.6,F
12.2,0.2,0.6,28.3,2.6,3.3,77,6.2,1.5,F
6.5,0.6,2.2,28.8,1.3,1.7,76.9,6.4,2.9,F
4.5,0.7,2,32.9,0.8,1,76.8,3,1,F
15.6,1.5,4.1,36.8,2.5,3.3,76.4,4.6,3,F
11.8,1.2,3.7,32,1.7,2.3,76,3.6,2.3,F
9,1.6,4.1,39.8,1,1.3,75.9,2.5,1,F
5,0.5,1.9,25.2,0.9,1.2,75.8,2.9,0.3,F
5.7,0.5,1.6,33.8,1,1.3,75.7,3.3,1,F
13.4,0.4,1.1,37.9,2.1,2.8,75.6,9,1.8,F
7,0.6,1.9,33.3,1,1.3,75.6,3.9,1.6,F
23,0.2,0.9,28.2,4.6,6.1,75.1,13.4,6,F
9.1,0.5,1.3,33.6,2.5,3.3,75,4.7,1.7,F
14.3,0.3,0.9,29.2,2.7,3.5,74.9,6.5,2,F
20.6,0.9,2.6,36.3,4.4,5.9,74.8,4.9,5.5,F
15.5,1,3.1,33.6,4,5.4,73.6,5.2,2.9,F
18.1,1.5,4.1,35.8,2.7,3.7,73.5,7.4,2.1,F
6.9,0.5,1.6,33.9,1.3,1.8,73.3,4.7,1,F
8.4,0.6,1.7,37.1,1.7,2.3,73.2,3.1,1.1,F
7.5,0.7,2.4,29.2,1.1,1.4,73.1,2.6,1.3,F
15.2,0.5,1.7,29.2,3,4.2,72.2,5.3,3.3,F
6.6,0.4,1.2,35.8,1.3,1.8,71.4,2.9,0.9,F
12.5,0.2,0.7,29.2,2.2,3,71.2,6.5,1.2,F
11.6,1.5,4.2,36.1,2.2,3.1,70.6,4.2,3.7,F
10.1,1.4,4.1,35.5,1,1.4,70.6,4.5,1.3,F
5.1,0.7,2.3,31.5,1,1.5,68.6,1.2,1,F
9.3,0.7,1.7,40.5,0.9,1.3,68.2,4.8,0.8,F
12.2,1.1,3.2,33.6,2,2.9,67.6,3.9,3.3,F
16.7,0.1,0.6,20.9,3.3,5.1,65.3,8.3,2.4,F
6.1,1.1,3,36.7,0.7,1.2,62.2,3.5,1.3,F
8.6,0.8,2.5,33.3,0.8,1.2,61.7,6,1.1,F
20.1,2.4,7.5,32.3,2.3,3.7,61.5,7.2,4.8,F
25.1,1.9,4.9,37.9,6,6.9,88.1,9.9,3,C
9.4,0.4,1,35.3,1.1,1.4,79.1,3.9,1,C
18.1,1.5,4.1,35.8,2.7,3.7,73.5,7.4,2.1,C
6.9,0.5,1.6,33.9,1.3,1.8,73.3,4.7,1,C
4.4,0.4,1.1,34,1,1.4,72.4,1.9,0.2,C
9.8,1.4,3.9,35.4,0.7,1,68.7,5.1,1.4,C
9.3,0.7,1.7,40.5,0.9,1.3,68.2,4.8,0.8,C
12.2,1.1,3.2,33.6,2,2.9,67.6,3.9,3.3,C
