"","PLAYER","PTS","X3PM","X3PA","X3P.","FTM","FTA","FT.","REB","AST","POS"
"96","Mookie Blaylock",11,1.1,3.3,32.4,0.8,1.1,69.7,3.9,6.7,"G"
"97","Chucky Atkins",12,1.5,4.2,35.7,1.1,1.6,69.2,2.1,4.1,"G"
"98","Ruben Patterson",13,0,0.5,5.6,3.2,4.8,68.1,5,2.1,"G"
"99","Dion Glover",5.9,0.2,0.8,19.6,0.8,1.2,68.1,2.3,1.2,"G"
"100","Vonteego Cummings",7.3,0.7,2.2,33.6,1.2,1.8,68.1,2.1,3.4,"G"
"101","Baron Davis",13.8,1,3.3,31,2.8,4.1,67.7,5,7.3,"G"
"102","Corey Benjamin",4.7,0.3,1.2,25.9,0.9,1.3,67.5,1.5,1.1,"G"
"103","Bonzi Wells",12.6,0.2,0.7,34,2.1,3.2,66,4.9,2.8,"G"
"104","Anthony Carter",6.4,0.1,0.6,15,0.9,1.4,63.1,2.5,3.7,"G"
"105","Quentin Richardson",8.1,0.7,2,33.1,1.3,2.1,62.7,3.4,0.8,"G"
"106","Bruce Bowen",7.6,1.3,3.7,33.6,1.2,2,60.9,3,1.6,"G"
"109","Roshown McLeod",9.6,0.1,0.6,9.1,1.3,1.5,88.2,3.4,1.7,"F"
"111","Wally Szczerbiak",14,0.3,0.9,33.8,2.2,2.5,87,5.5,3.2,"F"
